Day,Time (UTC),Strand,Room,Order,Theme,Authors,Title,Abstract ID & link,Country
Wednesday,18,1,Pd,2,Pitch: Perception (P),"Veic, Anamarija; Williams, Tim; Liu, Fang",Perception of lexical tone and intonation in Mandarin by English speakers with and without Autism Spectrum Disorder (ASD),382,England
Wednesday,18,1,Pd,3,Pitch: Perception (P),"McLeod, Andrew; Suermondt, Xavier; Herff, Steffen A.; Rohrmeier, Martin",Perceptually-informed Chord Label Evaluation,359,Switzerland
Wednesday,18,1,Pd,4,Pitch: Perception (P),"Proutskova, Polina; Velichkina, Olga",Open questions on tonality perception and construction in non-Western vocal music,703,UK
Wednesday,18,1,Pd,5,Pitch: Perception (P),"Wolfs, Zyxcban; Boshuizen, Els",Implicit Tonal Ability Test: Investigating Reliability and Validity in Musical Perception Abilities of Primary School Children,182,the Netherlands
Wednesday,18,2,Pe,1,Music in everyday life (P),"Cui, Jingyue; Dong, Rouchun; Li, Weiqing; Wang, Weijun","Predicting Personality from Music Users’ Internet
Behavior and Lyrics Data",202,Germany
Wednesday,18,2,Pe,2,Music in everyday life (P),"Kuch, Mia; Wöllner, Clemens",Principal Components of the Functions and Experiences of Mobile Music Listening,461,Germany
Wednesday,18,2,Pe,3,Music in everyday life (P),"Kirk, Rory; Panoutsos, George; van de Werken, Maan; Timmers, Renee",Sleep Music: Exploring Properties of Spotify Playlists,526,UK
Wednesday,18,2,Pe,4,Music in everyday life (P),"Robledo del Canto, Juan-Pablo",Refining a One-way Remote Video Recording Protocol (ORViRP),301,9999
Wednesday,18,2,Pe,5,Music in everyday life (P),"Merrill, Julia; Kleinsteuber, Linnea",Effects of State and Trait Boredom on the Aesthetic Experience,395,Germany
Wednesday,18,7,W,1,Applying for an academic job (BA),"Ambrazevičius, Rytis; Parncutt, Richard; Schiavio, Andrea; VanHandel, Leigh",Applying for an academic job,2013,NA
Thursday,23 (Weds),1,Pb,1,Embodiment (P),"Proksch, Shannon; Reeves, Majerle; Balasubramaniam, Ramesh; Spivey, Michael",Coordination Dynamics of Multi-Agent Human Interaction – Recurrence Quantification Analysis of a Musical Performance,440,USA
Thursday,23 (Weds),1,Pb,2,Embodiment (P),"Marchiano, María; Martínez, Isabel Cecilia","Do We Dance with Music or Does Music Make us
Dance? Arms’ Movements at EDM Parties",326,Argentina
Thursday,23 (Weds),2,Pa,1,Felt emotion (P),"Kapdi, Anushka; Thompson, William Forde; Davidson, Jane W.",The effect of music listening on cultural empathy: Brief exposure to outsider music insufficient to reduce cultural bias,715,9999
Thursday,23 (Weds),2,Pa,2,Felt emotion (P),"Krause, Amanda E; Forbes, Melissa","Socio-cultural influences on Australian adults’ musical
identities",130,Australia
Thursday,23 (Weds),2,Pa,3,Felt emotion (P),"Baxter, John O'Bannon",Influences of Mood and Emotion on Perception of Tonal Modalities,258,USA
Thursday,23 (Weds),2,Pa,4,Felt emotion (P),"McCloy, Morgan A.; Corrigall, Kathleen A.",Can Singing Help Me Relax? The Effect of Music on Perceived Stress,601,Canada
Thursday,23 (Weds),2,Pa,5,Felt emotion (P),"Oakley, Ashley Hanna; Graber, Margaret; Albrecht, Joshua",Perception of Grief in Music Throughout Childhood and Early Adolescence,206,United States
Thursday,23 (Weds),2,Pa,6,Felt emotion (P),"Schwitzgebel, Emily Elizabeth; Ashley, Richard",Implications of Silence in Pop Music,322,USA
Thursday,23 (Weds),3,Pb,3,Cross-modality (P),"Lopez, Gerardo","Hearing, Seeing, Liking: Effects of Audio-Visual Listening Conditions on Perceptual Ratings",433,United States
Thursday,23 (Weds),3,Pb,4,Cross-modality (P),"Grosser, Michelle Lynn","Congruence in the Multimodal Analysis of “Wile E.
Coyote and the Road Runner”",165,Canada
Thursday,23 (Weds),3,Pb,5,Cross-modality (P),"Urbaniak, Olivia Anne; Mitchell, Helen F","Dressed for success? How formal concert attire affects
audiences’ ratings of female classical musicians",157,Australia
Thursday,23 (Weds),4,Pc,1,Imagery (P),"Stedele, Mariana; Gualda, Fernando","Dreaming as artistic research on music creation and performance: literature review, new theoretical framework, and a case study",619,Brazil
Thursday,23 (Weds),4,Pc,2,Imagery (P),"van Zyl, Marise; Fujioka, Takako","The influence of musical experience on listeners’
audio-visual perception of acoustic space.",330,United States
Thursday,0,1,1,1,Covid19 - effects on music practices,"Motamed Yeganeh, Negin; Cui, Anja-Xiaoxing; Werker, Janet F.; Boyd, Lara; Hermiston, Nancy",No effect of COVID-19 restrictions on stress during opera performance,220,Canada
Thursday,0,1,1,2,Covid19 - effects on music practices,"Agres, Kat R.; Foubert, Katrien; Sridhar, Siddarth",The Impact of COVID-19 on Music Therapy and Technology Use Around the World,466,Singapore
Thursday,0,2,2,1,Aesthetics,"Pinto, Diego; Morrison, Steven J.","Evaluations of Vocal Ensembles Are Associated with
Performers’ Expressive Movement",575,United States
Thursday,0,2,2,2,Aesthetics,"Heroux, Isabelle; Dubé, Francis; Thouin-Poppe, Louis-Edouard","If the musician thinks of a sunrise while playing a crescendo, with it be more expressive?",511,9999
Thursday,0,2,2,3,Aesthetics,"Chen, Emily W.; Yohannes, Ellena L.; Burgess, Samantha I.; Shanahan, Daniel T.",Dropping the Bass: The Relationship between Heart Rate and Expectation in Electronic Dance Music,436,China
Thursday,0,3,3,1,Cross-modality,"Rush, Toby","Braille Music Notator: Cross-Modal Issues in Literacy, Perception, and Pedagogy",599,United States of America
Thursday,0,3,3,2,Cross-modality,"Miskinis, Alena; Albrecht, Joshua",Translating Music into Words: Mapping the Minds of 19th Century Music Analysts through the Exploration of Figurative Language as Evocative Descriptors of Musical Expression in 19th-century Music Periodicals,260,United States
Thursday,0,3,3,3,Cross-modality,"Shea, Nicholas J.",Cartesian Segmentation of Fretboard Space by Form and Style,437,United States
Thursday,0,5,S,1,Music performance and the second person (S),"Martinez, Isabel Cecilia; Perez, Diana Ines",MUSICAL PERFORMANCES FROM THE SECOND PERSON PERSPECTIVE,302,Argentina
Thursday,0,5,S,2,Music performance and the second person (S),"Epele, Juliette; Martinez, Isabel Cecilia",THE SECOND PERSON IN THE INTERPRETATION AND REINTERPRETATION IN ORCHESTRA ROW,312,Argentina
Thursday,0,5,S,3,Music performance and the second person (S),"Alimenti Bel, Demian",Talking about tango. A qualitative study of musical interaction from the Second Person perspective in a tango duo.,488,9999
Thursday,0,5,S,0,Music performance and the second person (S),"Martinez, Isabel Cecilia",SYMPOSIUM: MUSIC PERFORMANCE AND THE SECOND PERSON,299,Argentina
Thursday,1,5,S,1,Music performance and the second person (S),"Milomes, Luciana Rosario; Valles, Mónica",Second Person Interaction in Chamber Music Performance,372,Argentina
Thursday,1,5,S,2,Music performance and the second person (S),"Perez, Joaquin Blas; Martínez, Isabel Cecilia",Social Interaction in Jazz Improvisation from the Second Person Perspective,329,Argentina
Thursday,1,5,S,3,Music performance and the second person (S),"Marchiano, María; Tanco, Matías",DJing & Reading the Crowd in an EDM Context from a Second Person Perspective,328,Argentina
Thursday,1,1,1,1,Embodiment,"Breeden, Virgil; Arthur, Claire",What do I dance to this?: A perceptual study of dance genre identification,654,United States
Thursday,1,1,1,2,Embodiment,"Tichko, Parker; Kim, Ji Chul; Large, Edward","Neural Resonance Theory and musical rhythm development: Towards a dynamic, embodied, and ecological theory of rhythm development",610,United States
Thursday,1,1,1,3,Embodiment,"Pfordresher, Peter",What do you do with a poor-pitch singer?,387,United States
Thursday,1,2,2,1,Meaning,"Swaminathan, Swathi",Semantic Context Modulates Memory for Music,649,Canada
Thursday,1,2,2,2,Meaning,"Reymore, Lindsey; Noble, Jason; Saitis, Charalampos; Traube, Caroline; Wallmark, Zachary",Mapping the semantics of timbre across pitch registers,623,Canada
Thursday,1,2,2,3,Meaning,"Sears, David R. W.; Verbeten, Jonathan; Percival, Hannah",Does order matter? Harmonic priming effects for unscrambled tonal chord sequences,592,USA
Thursday,1,3,3,2,Cross-cultural,"Loeffert, Kimberly Goddard",North American Women+ in Saxophone: Gender Representation at North American Saxophone Alliance Biennial Conferences from 2008–2020,363,United States
Thursday,2,1,1,1,Music & Health (Clinical),"Wade, Laura Rosa Evonne; Reis, Samantha; Byron, Timothy",An Attachment Perspective on Emotional Reactions to Sad Music and Experiences with Depression,288,Australia
Thursday,2,1,1,2,Music & Health (Clinical),"Pagel, Susan; Broughton, Mary; Bunzli, Emma; Davis, Erin; Elliott, Karen; Prasad, Vinita; Heussler, Honey",An Exploration of Single-Session Music Therapy to Reduce Clinic-Related Stress and Anxiety in Children with 22q11.2 Deletion Syndrome,714,9999
Thursday,2,1,1,3,Music & Health (Clinical),"Papadopoulos, Julianne M.; Kovach, Chrysa L.; Goldsworthy, Raymond L.",Understanding Cochlear Implant User Music Perception and Experiences through Community Music Appreciation,196,United States of America
Thursday,2,2,2,1,Physiology,"Upham, Finn; Zelechowska, Agatha; Gonzalez, Victor; Jensenius, Alexander Refsum",Quiet Breathing to Heard Music,419,Canada
Thursday,2,2,2,2,Physiology,"Mehdizadeh, Sophia Kaltsouni; Leslie, Grace",Novel Methodologies for Secondary Analyses of Physiological and Musical Preference Data,678,United States
Thursday,2,3,3,1,Neural processing and individual differences,"Sternin, Avital; Owen, Adrian M.; Grahn, Jessica A.",Music and language affect strength of inter-subject synchrony in young and older adults,251,Canada
Thursday,2,3,3,2,Neural processing and individual differences,"Williams, Jamal",High-order areas and auditory cortex both represent the high-level event structure of music,264,United States
Thursday,5,1,1,1,Cross- culture/world music,"Susino, Marco; Forde Thompson, William; Schubert, Emery",Emotional responses to music: The need to account for contextual factors,238,Australia
Thursday,5,1,1,2,Cross- culture/world music,"Susino, Marco; Schubert, Emery",Musical emotions in the absence of music: A cross- cultural examination of emotion response by extra- musical cues,188,Australia
Thursday,5,1,1,3,Cross- culture/world music,"Smit, Eline; Milne, Andrew; Sarvasy, Hannah; Dean, Roger",Felt valence of musical harmony in remote villages in Papua New Guinea: Cadences and melodies,158,Australia
Thursday,5,2,2,1,Music Education,"Sharma, Geeta; Duncan, Scott; Nikolai, Jennifer; Stewart, Tom",Can a curriculum-integrated dance programme influence children’s wellbeing and classroom behaviour?,199,9999
Thursday,5,2,2,2,Music Education,"Suberry, Assaf; Zohar, Eitan",Developmental trajectory of tonal perception,110,Isrzael
Thursday,6,1,1,1,Cross- culture/world music,"Fraser, Trisnasari Cecilia; Davidson, Jane Whitfield",Social connection and collective flow through asynchronous virtual Egyptian Baladi performance,420,Australia
Thursday,6,1,1,2,Cross- culture/world music,"Altun, Firat; Egermann, Hauke",The Effect of Temperament Systems on Emotion Induction of Turkish Makam Music,508,Turkey
Thursday,6,2,2,1,Cognitive processes,"Jimenez, Ivan; Kuusi, Tuire; Ojala, Juha",Two-oddball Paradigm for Investigating the Relative Salience of Chord-type Changes over Voicing Changes,529,Finland
Thursday,6,2,2,2,Cognitive processes,"Zou, Ivan Yifan; Jiaqi, Qu",Aesthetics of Surprise and Reinterpretation in Music Performance Across Cultures and Its Pedagogical Implications,651,Hong Kong
Thursday,6,3,3,1,Music Techonology,"Ganeshan, Aishwarya; Prabhu, Prashanth",EFFECTIVENESS OF HEARING AID AMPLIFICATION STRATEGIES FOR PERCEPTION OF MUSIC,177,9999
Thursday,6,3,3,2,Music Techonology,"Thakare, Shivani Prashant; Sonchhatra, Urja Hitesh; Pathak, Anushree Shreerang; Chowdhary, Siddhi Sandesh; Velankar, Makarand Ramesh",Modelling varying musical taste of user with incremental reinforcement learning for effective recommendation,169,9999
Thursday,8,1,1,1,Cross- culture/world music,"Khan, Faizan Farooq; Alluri, Vinoo; Carlson, Emily; Saarikallio, Suvi",Cross-Cultural study on usage of music for mood regulation during a pandemic,290,India
Thursday,8,1,1,2,Cross- culture/world music,"Aliyeva, Imina; Karimova, Zarif",Connectivity and Diversity of Heroic concept in music of different cultures and nations,735,Azerbaijan
Thursday,8,1,1,3,Cross- culture/world music,"McBride, John M.; Pearce, Marcus; Tlusty, Tsvi",Unexpected convergence in melodic information across cultures,491,South Korea
Thursday,8,2,2,1,Music and Dance Education,"Fletcher, Heather; Davidson, Jane W; Krause, Amanda E",“I ask them what they can feel”: Proprioception and the Voice Teacher’s Approach,345,Australia
Thursday,8,2,2,2,Music and Dance Education,"MacArthur, Stephanie R.; Davidson, Jane W.; Krause, Amanda E.",“It’s like being the hero of your own story”: Perceptions of musical skill development for the beginner cellist.,249,Australia
Thursday,8,2,2,3,Music and Dance Education,"Kaczmarek, Stella","Mental practice for dancers – applications, methods and functions",721,Polska
Thursday,8,3,3,1,Entrainment & 4E,"Swarbrick, Dana; Erdem, Cagri; Refsum Jensenius, Alexander",MusicLab Algorave – An exploratory study examining the usage of mobile accelerometry to measure movements of a virtual concert audience,551,Norway
Thursday,8,3,3,2,Entrainment & 4E,"Laroche, Julien; Tomassini, Alice; Fadiga, Luciano; Camurri, Antonio; Volpe, Gualtiero; d'Ausilio, Alessandro","Intrapersonal coupling within the orchestra and the
«head department» of rhythm",682,9999
Thursday,8,3,3,3,Entrainment & 4E,"Curwen, Caroline",Music-colour synaesthesia: a sensorimotor account,116,United Kingdom
Thursday,8,4,4,1,Music and health,"MacRitchie, Jennifer; Chmiel, Anthony; Taylor, John R.; Radnan, Madeleine; Stevens, Catherine J.; Dean, Roger T.",The Active Minds Music Ensemble: Learning music online and in-person,148,UK
Thursday,8,4,4,2,Music and health,"Satkunarajah, Praveena; Agres, Dr Kat",Web-platform Prototype for Visualisation of Kinematic Data captured from a Music-based Tele-rehabilitation System,476,Canada
Thursday,8,4,4,3,Music and health,"Koehler, Friederike; Warth, Marco; Ditzen, Beate; Neubauer, Andreas B.",How motivation to make music influences flow experiences and well-being in hobby musicians’ everyday life,107,9999
Thursday,8,5,S,1,Song teaching and learning – studies in music didactics (S),"Savona, Annamaria",How pre-service generalist teachers reflect on their song teaching lessons in internship and their subject- specific professional development,673,Switzerland
Thursday,8,5,S,2,Song teaching and learning – studies in music didactics (S),"Stadler Elmer, Stefanie; Savona, Annamaria; Cavasino, Gabriella",Song teaching and learning – studies in music didactics,696,Switzerland
Thursday,8,5,S,3,Song teaching and learning – studies in music didactics (S),"Stadler Elmer, Stefanie",Formal Song transmission – a quasi-experimental and micro-genetic study,697,Switzerland
Thursday,9,5,S,1,Song teaching and learning – studies in music didactics (S),"Savona, Annamaria",How pre-service generalist teachers reflect on their song teaching lessons in internship and their subject- specific professional development,698,Switzerland
Thursday,9,5,S,2,Song teaching and learning – studies in music didactics (S),"Cavasino, Gabriella",Song-Leading: An overview on contrasting didactics,699,9999
Thursday,8,7,W,1,‘Meet-the-editors' journal publishing advice session (BA),"Stevens, Kate",Meet-the-editors' journal publishing advice session,2014,NA
Thursday,9,1,1,1,Cross- culture/world music,"Kostka, Violetta Katarzyna","Change, Difference and Analogy in Paweł Szymański’s
Music",118,Poland
Thursday,9,1,1,2,Cross- culture/world music,"Aliyeva, Imina",Azerbaijani Modes in Traditional and European Genres: Connectivity and Diversity,725,9999
Thursday,9,2,2,1,Music Technology,"Hamanaka, Masatoshi; Hirata, Keiji; Tojo, Satoshi",Two Strategies for Melody Morphing Based on GTTM,168,Japan
Thursday,9,2,2,2,Music Technology,"Ganguli, Kaustuv Kanti; Anantapadmanabhan, Akshay; Lali, Gautham; Guedes, Carlos",A passive approach to evaluating Mridangam transcription via perceptual experiment,455,United Arab Emirates
Thursday,9,2,2,3,Music Technology,"Borgohain, Junmoni; Karambelkar, Gouri; Patnaik, Priyadarshi; Suar, Damodar",Developing a Semantic Differential Scale for Capturing Attributes in Hindustani Classical Music,308,India
Thursday,9,3,3,1,Methods development,"Hake, Robin; Bürgel, Michel; Müllensiefen, Daniel; Siedenburg, Kai",Development of an adaptive test of musical scene analysis ability,467,Germany
Thursday,9,3,3,2,Methods development,"Gómez-Cañón, Juan Sebastián; Gutiérrez-Páez, Nicolás; Porcaro, Lorenzo; Gkiokas, Aggelos; Herrera, Perfecto; Gómez, Emilia",Improving emotion annotation of music using citizen science,150,9999
Thursday,9,3,3,3,Methods development,"Fink, Lauren K.; Janata, Petr; Ganapathy, Sriram; Furukawa, Shigeto; Lange, Elke B.",Pupillary entrainment predicts listeners' ratings of absorption,129,Germany
Thursday,9,4,4,1,Stress and motivation,"Gomes Arrulo, Teresa; Doumas, Michail; Papageorgiou, Kostas A.",Beneath the Surface: the Influence of Music and the Dark Triad Traits on Stress and Performance,166,United Kingdom
Thursday,9,4,4,2,Stress and motivation,"Douglas, Karan; Clegg, Helen; Fine, Philip; Sonnex, Charmaine","The individual differences in the influences of motives, passion, and flow on psychological wellbeing in musicians.",297,UK
Thursday,10,1,1,1,Cross- culture/world music,"Karambelkar, Gouri Ravindra; Borgohain, Junmoni; Patnaik, Priyadarshi; Sen, Joy",Ragas and the Range of Musical Emotions: An Exploration of Essential and Non-Essential Components and their Impact on Emotional Meaning Making,444,India
Thursday,10,1,1,3,Cross- culture/world music,"Ambrazevicius, Rytis",Time performance rules in traditional singing,409,Lithuania
Thursday,10,2,2,1,"Music, memory and boredom","Lamont, Alexandra; Anglada-Tort, Manuel","Influencing musical memories: How and why young
adult listeners ‘remember’ music over long time spans",464,France
Thursday,10,2,2,2,"Music, memory and boredom","Merrill, Julia; Niedecken, Tristan; Ackermann, Taren-Ida",Music and Boredom: A First Insight into an Unexplored Relationship,394,Germany
Thursday,10,2,2,3,"Music, memory and boredom","Kuiper, Leanne; Örken, Ada; Burgoyne, J. Ashley",It’s Beginning to Sound a Lot Like Christmas: Exploring Short- and Long-Term Memory of Christmas Music Through an Online Game,518,The Netherlands
Thursday,10,3,3,1,Methods development,"Rose, Dawn; Müllensiefen, Daniel; Lovatt, Peter; Orgs, Guido",The Goldsmiths Dance Sophistication Index (Gold-DSI): a psychometric tool to assess individual differences in dance experience.,111,Switzerland
Thursday,10,3,3,2,Methods development,"Senn, Olivier; Bechtold, Toni; Rose, Dawn; Câmara, Guilherme Schmidt; Düvel, Nina; Jerjen, Rafael; Kilchenmann, Lorenz; Hoesl, Florian; Baldassarre, Antonio; Alessandri, Elena",Experience of Groove Questionnaire: Instrument Development and Initial Validation,133,Switzerland
Thursday,10,4,4,1,Pitch,"Harrison, Peter M. C.; Marjieh, Raja; Jacoby, Nori",Characterizing the subjective pleasantness of tone combinations as a function of intervallic and spectral structure,361,Germany
Thursday,10,4,4,2,Pitch,"Hall, Edward T. R.; Pearce, Marcus T.",Perception of thematic structure in music over small and large scales,517,United Kingdom
Thursday,11,1,1,1,Global music comparisons,"Daikoku, Hideo; Ding, Shenghao; Benetos, Emmanouil; Wood, Anna Lomax Chairetakis; Fujii, Shinya; Savage, Patrick E.",Human and automated judgements of musical similarity in a global sample,287,Japan
Thursday,11,1,1,2,Global music comparisons,"Lee, Harin; Jacoby, Nori; Schoenwiesner, Marc; Park, Minsu",Converging and diverging patterns in the evolution of popular songs around the globe,346,1
Thursday,11,1,1,3,Global music comparisons,"Lin, Hsin-Rui; Frieler, Klaus; Müllensiefen, Daniel",Development and validation of short forms of the Goldsmiths Musical Sophistication Index in three languages,127,Canada
Thursday,11,2,2,1,Music & behaviour,"Ziv, Naomi; Perez, Gil",The effect of background music on person perception in political contexts,247,Israel
Thursday,11,2,2,2,Music & behaviour,"Marin, Manuela M.; Rathgeber, Ines","Darwin’s sexual selection hypothesis revisited: Music
increases sexual attraction in both sexes",574,Austria
Thursday,11,3,3,1,Rhythm,"Anglada-Tort, Manuel; Harrison, Peter; Jacoby, Nori",REPP: A robust cross-platform solution for online sensorimotor synchronization experiments,378,Germany
Thursday,11,3,3,2,Rhythm,"Lem, Nolan Vincent; Fujioka, Takako",Extracting beat from a crowd of coupled metronomes: Effects of coupling strength and timbre on tapping synchronization,195,United States
Thursday,11,3,3,3,Musical Ability,"Drakoulaki, Katerina; Anagnostopoulou, Christina; Guasti, Maria Teresa; Tillmann, Barbara; Varlokosta, Spyridoula",Potential relations between language skills with music skills and general cognitive skills in pre-schoolers,179,Greece
Thursday,11,4,4,1,Pitch,"Moss, Fabian C.; Herff, Steffen A.; Rohrmeier, Martin",Individual perception of diatonic scales predicts perceived tonal fit in octatonic and hexatonic contexts,273,Switzerland
Thursday,11,4,4,2,Pitch,"Curwen, Caroline",Synaesthesia for reading written musical keys,117,United Kingdom
Thursday,11,5,S,1,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Cole, L. P.; Henechowicz, T. L.; Kang, K.; Pranjic, M.; Richard, N. M.; Tian, G. L. J.; Hurt- Thaut, C.",Neurologic Music Therapists delivered quality healthcare via telehealth during the COVID-19 pandemic: A survey study,566,Canada
Thursday,11,5,S,2,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Richard, Nicole M.; Thaut, Michael H.; Hurt-Thaut, Corene",Music Therapy for Autistic Individuals via Telehealth: Keys to Successful Implementation,279,Canada
Thursday,11,5,S,3,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Kang, Kyurim; Orlandi, Silvia; Lorenzen, Nicole; Chau, Tom; Thaut, Michael","Simultaneous Electroencephalography (EEG) Measurements in Child with Disabilities, their Mother, and Music Therapist",325,Korea
Thursday,12,5,S,1,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Li, Bing; Hurt-Thaut, Corene; Fischer, Corinne E.; Thaut, Michael H.",A Cross-cultural Investigation of Neurologic Music Therapy (NMT) Interventions on Cognitive Improvement in Patients with mild-to-moderate Alzheimer’s Disease and Mild Cognitive Impairment (MCI),636,Germany
Thursday,12,5,S,2,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Caputo, Chantelle Cassandra; Chu, Iue-Nin Annie; Hurt-Thaut, Corene",Delivering Neurologic Music Therapy-Based Telehealth Sessions: Clinical and Research Applications in the Time of COVID-19,667,Canada
Thursday,12,5,S,3,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Ray, Cody; Richard, Nicole M.; Tian, Gloria L. J.",Overcoming technical difficulties: A toolbox for telehealth music therapy,547,1
Thursday,12,5,S,NA,Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice (S),"Richard, Nicole Marie; Kang, Kyurim; Thaut, Michael H.; Hurt-Thaut, Corene; Li, Bing; Cole, Lauren Patricia; Henechowicz, Tara Lynn; Pranjić, Marija; Tian, Gloria L. J.; Caputo, Chantelle C.; Chu, Iue-Nin Annie; Ray, Cody",Symposium: Adapting Neurologic Music Therapy to a Virtual World: From Basic Research to Practice,664,Canada
Thursday,13,1,Pa,1,Cross- cultural/world Music (P),"Good, Arla; Russo, Frank",Singing foreign songs promotes shared common humanity in elementary school children,732,Canada
Thursday,13,1,Pa,2,Cross- Cultural/world Music (P),"Pais, Shally Sharin",Laputa: Castle in the Sky – a comparison of Joe Hisaishi’s scores for the film’s Japanese and English versions.,137,Australia
Thursday,13,1,Pa,3,Cross- Cultural/world Music (P),"McBride, John Michael; Tlusty, Tsvi",Cross-cultural convergence in musical scales.,446,South Korea
Thursday,13,1,Pa,4,Cross- Cultural/world Music: Indian Music/Mantras (P),"Iyer, Narayanan P",Indian Music and Cognition Of Human Values,229,India
Thursday,13,1,Pa,5,Cross- Cultural/world Music: Indian Music/Mantras (P),"Kale, Ankita Kishor; Shetty, Suhas Kumar",Critical Appraisal of Mantra chanting in Ayurveda literature,174,India
Thursday,13,1,Pa,6,Cross- Cultural/world Music: Indian Music/Mantras (P),"Singh, Arun Pratap","Vedic Mantras & Cognition: Concomitant Changes, Research Challenges & Future Prospects",707,India
Thursday,13,2,Pb,1,Timbre (P),"Jimenez, Ivan; Kuusi, Tuire; Czedik-Eysenberg, Isabella; Reuter, Christoph",The Effect of Timbral and Non-timbral Cues on the Recognition of Songs from the Piano-Driven Opening Chord,512,Finland
Thursday,13,2,Pb,2,Timbre (P),"Bürgel, Michel; Picinali, Lorenzo; Siedenburg, Kai",Listening in the mix: Lead vocals robustly attract auditory attention in popular music,164,9999
Thursday,13,2,Pb,3,Timbre (P),"Li, Shen; Shuai, Jinling",The role of musical gestures in perception and communication of timbre,495,Germany
Thursday,13,2,Pb,4,Timbre (P),"Siddiq, Saleh; Reuter, Christoph; Czedik-Eysenberg, Isabella; Eder, Matthias",The impact of aerosol filters on the sound of wind instruments,205,Austria
Thursday,13,2,Pb,5,Timbre (P),"Yamada, Reiko; Aloy, Albert; Barbiero, Luca; Muñoz-Gil, Gorka; Lewenstein, Maciej",Applications of Quantum Randomness: From Rabi Oscillations to Fourier Axis Controlling the Musical Timbre,473,Spain
Thursday,13,2,Pb,6,Timbre (P),"Löbbers, Sebastian; Fazekas, György",Representation of musical timbre through visual sketching,530,9999
Thursday,13,2,Pc,6,Timbre: Low-Level Features (P),"Thiesen, Felix Christian; Kopiez, Reinhard; Müllensiefen, Daniel",Hearing a needle in a haystack: Recognition of intra- musical parameters in short musical objects (Plinks),244,Germany
Thursday,13,2,Pd,1,Timbre: Low-Level Features (P),"Michalko, Aleksandra; Burgoyne, John Ashley",Description of Flute Tone Quality: Semantic Labelling of Low-Level Features,393,Belgium
Thursday,13,3,Pc,1,"Music Technology
+Special ones (P)","Alcalde, Bruno",Listener Interactions with Musical Hybridity in the Piano Puzzler Podcast,243,United States
Thursday,13,3,Pc,2,"Music Technology
+Special ones (P)","Chen, Manni; Lindborg, PerMagnus",Evaluation of AI Reverberation on Guitar,505,China
Thursday,13,3,Pc,3,"Music Technology
+Special ones (P)","Pelofi, Claire; Goldstein, Michal N.; Bevilacqua, Dana; McPhee, Michael; Abrams, Ellie; Ripollés, Pablo",The CHILLER: a Computer Human Interface for the Live Labeling of Emotional Responses,162,9999
Thursday,13,3,Pc,4,"Music Technology
+Special ones (P)","Yuan, Yuchen; Cronin, Charles; Müllensiefen, Daniel; Fujii, Shinya; Savage, Patrick E.",Comparing perceptual and automated judgements of music copyright infringement,485,China
Thursday,13,3,Pc,5,"Music Technology
+Special ones (P)","Fukatsu, Haruno; Honda, Kazuaki; Ishizuka, Tatsuro; Ohgi, Yuji; Fujii, Shinya",Motion Analysis of Finger-bowing Skill in Violin Playing with A High Speed Camera: A Case Study,657,Japan
Thursday,13,4,Pd,2,Music Well-Being (P),"Krause, Amanda E; Osborne, Margaret; Glasser, Solange",“Can’t live without music”: Engaging and disengaging from music listening,149,Australia
Thursday,13,4,Pd,3,Music Well-Being (P),"Mishra, Sakshi; Haldar, Tonmoy",Efficacy of the musical pieces “Weightless” by Marconi Union and “Electra” by Airstream on State Anxiety among Undergraduate Students,250,India
Thursday,13,4,Pd,4,Music Well-Being (P),"Vidas, Dianna; Nelson, Nicole L.; Dingle, Genevieve A.",Randomised Controlled Trial of the Tuned In Emotion Regulation Program for International Students,448,Australia
Thursday,13,4,Pd,5,Music Well-Being (P),"Janakiraman, Janani; Jagadeesan, Nandini; M, Kanchana",Relationship between Engagement with Music and Problem Solving in Adults,501,India
Thursday,13,4,Pd,6,Music Well-Being (P),"Kanagala, Sai charan; Gabińska, Anna; Schäfer, Thomas","The association between affect regulation strategies in music and trait affect, empathy",634,INDIA
Thursday,13,7,W,1,Research funding for music cognition (BA),"Dibben, Nicola",Research funding for music cognition,2015,NA
Thursday,14,1,1,1,Music and health,"Taylor, Hannah M.; Glasser, Solange; McPherson, Gary E.",A Systematic Review of Music and the Eating Disorders,515,1
Thursday,14,1,1,2,Music and health,"Ridell Di Lorenzo, Kim; Schaefer, Rebecca S.",The Musical Coping and Responsivity Scale: Developing a Screening for Personalized Clinical Practice,545,Luxembourg
Thursday,14,1,1,3,Physiology,"Warmbrodt, Ashley; Timmers, Renee; Kirk, Rory",The Emotion Trajectory of Self-Selected Jazz Music with Lyrics: A Psychophysiological Perspective,185,United States
Thursday,14,2,2,1,Implicit processes,"Zelechowska, Agata; Gonzalez Sanchez, Victor; Jensenius, Alexander Refsum",Championship of Standstill: A paradigm to study involuntary responses to music with the use of motion capture,616,Norway
